NAZEV;KOD_PRACOVISTE;KOD_LEKARNY;ICZ;ICO;MESTO;ULICE;PSC;LEKARNIK_PRIJMENI;LEKARNIK_JMENO;LEKARNIK_TITUL;WWW;EMAIL;TELEFON;FAX;ERP;TYP_LEKARNY;ZASILKOVY_PRODEJ;POHOTOVOST
Adamova lÈk·rna;00200379227;1995830;01995100;06378510;Praha;V·clavskÈ n·mÏstÌ 775/8;11000;ätychov·;Alena;PhMr.;;adamovalekarna@seznam.cz;224 238 901;;0;Z/OOVL;ANO;
Agnes;63330000000;63995340;63330000;60115297;Ho¯ice;HavlÌËkova 64;50801;Zubr;V·clav;Mgr.;;agnes.lekarna@email.cz;493 622 085;;1;Z;;
Alfa;58344000000;58995300;58344000;25010450;Duchcov;Teplick· 223/12;41901;Tr‰gnerov·;Jana;Mgr.;http://www.lekarnaalfa.cz;lekarna_alfa@volny.cz;417 836 291;;1;Z;;
ALFA farm s.r.o.;82652000000;82995440;82652000;28262441;ZlÌn;2. kvÏtna 3646;76001;äimÌkov·;Ivana;Mgr.;http://www.alfafarm.cz;lekarna@alfafarm.cz;577 220 444;;1;Z;;
Alma;20813000000;20995050;20813000;27618439;Beneöov;Ji¯Ìho Hor·ka 1697;25601;Bauerov·;Lucie;Mgr.;www.lekarnaalma.cz;alma@lekarnaalma.cz;317 725 666;;1;Z;;
AMBRA;91531000000;91995148;91531000;29444489;Ostrava;n·mÏstÌ SlovenskÈho n·rodnÌho povst·nÌ 1886/4;70030;Berkov·;Jarmila;Mgr.;;jberkova@volny.cz;725 973 322;;1;Z;;
Amfora;70634000000;70995060;70634000;27478980;JablonnÈ nad OrlicÌ;N·mÏstÌ 5. kvÏtna 91;56164;Keslov·;Irena;Mgr.;http://www.lekarnaamfora.cz;lek.amfora@volny.cz;465 642 303;;1;Z;;
Annypharm ⁄valy;28116000001;28995500;28116000;29376262;⁄valy;Husova 307;25082;Philippov·;Jana;PharmDr.;;lekarna.uvaly@annypharm.cz;281981423, 776255546;;1;Z;;
APO LÈk·rna;00214917472;72995345;72995389;22303375;Brno;PolnÌ 1032/45;63900;Ryökov·;Dita;Mgr.;;lekarna@group-apo.com;543 331 111;;0;Z;;
APOMED;09995016000;09995290;09995016;25081292;Praha;äumpersk· 652;19900;MlÌchov·;Jana;PharmDr.;http://www.apomed.cz;info.apomed@volny.cz;283 922 781, 283 922 782;;1;L;;
ARKLEB;71333000000;71995420;71333000;46342648;Boskovice;17. listopadu 2216/23;68001;Jandov· Minxov·;Ludmila;PharmDr.;http://www.lebo.cz;vesela@lebo.cz;516 454 837;;1;Z/OOVL;;
Arnika;00201811379;22995660;22995052;28570481;Unhoöù;Praûsk· 910;27351;Eisnerov·;Jana ;PharmDr.;;arnika@mojelekarna.cz;312 520 509;;0;Z;;
Arnika;91514000000;91995070;91514000;26850362;Ostrava;Lechowiczova 2970/6;70200;Demel;Vladan;PharmDr.;;lekarna.arnika@seznam.cz;596 634 008;;1;Z;;
ASTER PHARMA;43635000002;43995230;43635000;46883088;Suöice;Pravdova 1077;34201;Knetlov·;Marcela;Mgr.;http://www.asterpharma.cz;pravdova@asterpharma.cz;376 524 292;;1;Z;;
ASTER PHARMA;43635000000;43995290;43635000;46883088;Suöice;n·mÏstÌ Svobody 1;34201;Poû·rkov·;Ilona;Mgr.;http://www.asterpharma.cz;lekarna@asterpharma.cz;376 523 328;376 520 520;1;L/OOVL;;
Aurum;50936000001;50995310;50936000;25034561;Doksy;HornÌ 78;47201;Leökov·;Petra;Mgr.;;lek.aurum@tiscali.cz;487 525 856;;1;Z;;
AVENTA;72995101000;72995930;72995101;25598791;Brno;»esk· 247/32;60200;Kola¯Ìkov·;Petra;PharmDr.;http://www.lekarna-aventa.cz/;aventa@volny.cz;542 215 189;;1;Z;;
BB LÈk·rna s.r.o.;00213329873;72995332;72995377;19145608;Brno;⁄dolnÌ 326/11;60200;Dost·lov·;Jana;PharmDr.;;info@bblekarna.cz;777 241 945;;1;Z;ANO;
BENU LÈk·rna;00215492345;05995011;05995134;49621173;Praha;H·bova 3209/5b;15500;Beil;Kamil;PharmDr.;http://www.benu.cz;praha.habova@benu.cz;705 837 341;;0;Z;;
